,Ticker,Shares
1,AAPL,72.60807452806976
2,ABBV,104.00470162404055
3,ABT,116.92663751896568
4,ACN,53.44745820391545
5,AIG,180.5299191246609
6,BAC,620.4257656432525
7,BK,220.72905142579086
8,C,358.71318230419774
9,CL,245.32908313526707
10,CMCSA,297.65261927244
11,CVS,182.98800941011916
12,JNJ,298.93216037406427
13,JPM,122.96132493715606
14,KMI,609.8323844131983
15,KO,187.56151470423978
16,LMT,108.170450259965
17,MO,357.70347129460725
18,MRK,561.8266137218583
19,MS,234.407958492991
20,PEP,107.51738877838635
21,PFE,432.95098868880444
22,PG,135.45460074803296
23,PM,125.32483877395765
24,T,1326.4426675940474
25,UPS,55.15029554701321
